Problem Number;Problem Sub Status;Problem Change Date+Time;Problem Status
1-320604521;Unmatched;2009-09-14T10:37:50+01:00;Unmatched
1-320604521;Closed;2012-04-30T11:21:43+01:00;Completed
1-322204195;Awaiting Assignment;2009-09-16T21:42:12+01:00;Queued
1-322204195;In Progress;2009-09-28T10:26:19+01:00;Accepted
1-322204195;Wait;2009-09-28T10:26:30+01:00;Accepted
1-322204195;Awaiting Assignment;2010-04-08T11:09:22+01:00;Queued
1-322204195;Awaiting Assignment;2010-04-08T11:11:51+01:00;Queued
1-322204195;In Progress;2010-04-12T09:05:58+01:00;Accepted
1-322204195;Wait;2010-04-12T09:10:24+01:00;Accepted
1-322204195;In Progress;2011-10-18T15:09:14+01:00;Accepted
1-322204195;Wait;2012-05-24T09:02:19+01:00;Accepted
1-322204195;Closed;2012-05-24T10:03:31+01:00;Completed
1-322581861;In Progress;2009-09-18T11:50:02+01:00;Accepted
1-322581861;Unmatched;2009-11-17T14:07:38+01:00;Unmatched
1-322581861;Closed;2012-03-13T11:53:35+01:00;Completed
1-322980802;In Progress;2009-09-21T13:13:43+01:00;Accepted
1-322980802;Closed;2012-02-07T13:22:11+01:00;Completed
1-323264491;In Progress;2009-09-22T13:22:05+01:00;Accepted
1-323264491;Assigned;2009-09-22T13:25:17+01:00;Accepted
1-323264491;Closed;2012-05-24T09:57:49+01:00;Completed
1-323462732;In Progress;2009-09-23T10:52:27+01:00;Accepted
1-323462732;Assigned;2010-01-04T09:00:17+01:00;Accepted
1-323462732;In Progress;2010-03-17T16:36:20+01:00;Accepted
1-323462732;Assigned;2010-11-09T12:35:55+01:00;Accepted
1-323462732;In Progress;2010-11-09T14:20:48+01:00;Accepted
1-323462732;In Progress;2012-03-30T07:00:47+01:00;Accepted
1-323462732;Assigned;2012-03-30T07:05:44+01:00;Accepted
1-323462732;In Progress;2012-04-19T09:01:14+01:00;Accepted
1-323462732;Closed;2012-04-19T09:01:38+01:00;Completed
1-327329880;In Progress;2009-10-14T17:12:54+01:00;Accepted
1-327329880;Wait;2009-12-02T14:24:37+01:00;Accepted
1-327329880;In Progress;2011-09-01T23:22:08+01:00;Accepted
1-327329880;In Progress;2012-02-01T09:46:54+01:00;Accepted
1-327329880;Closed;2012-02-01T09:46:57+01:00;Completed
1-329451027;Wait;2009-10-26T14:47:10+01:00;Accepted
1-329451027;Unmatched;2009-10-27T09:57:26+01:00;Unmatched
1-329451027;Awaiting Assignment;2010-03-02T13:44:22+01:00;Queued
1-329451027;In Progress;2010-03-02T13:46:10+01:00;Accepted
1-329451027;Wait;2010-03-02T13:46:18+01:00;Accepted
1-329451027;Assigned;2011-04-11T08:10:20+01:00;Accepted
1-329451027;Assigned;2011-04-11T08:11:48+01:00;Accepted
1-329451027;Wait;2011-11-28T08:21:27+01:00;Accepted
1-329451027;In Progress;2012-03-30T09:53:50+01:00;Accepted
1-329451027;Closed;2012-03-30T09:53:53+01:00;Completed
1-329647261;In Progress;2009-10-27T09:42:40+01:00;Accepted
1-329647261;Wait;2009-10-27T09:42:49+01:00;Accepted
1-329647261;Awaiting Assignment;2010-03-02T13:43:43+01:00;Queued
1-329647261;In Progress;2010-03-02T13:44:26+01:00;Accepted
1-329647261;In Progress;2010-03-03T08:04:11+01:00;Accepted
1-329647261;Wait;2010-06-13T21:32:03+01:00;Accepted
1-329647261;Assigned;2011-04-11T08:12:04+01:00;Accepted
1-329647261;Wait;2011-11-23T11:55:39+01:00;Accepted
1-329647261;Closed;2012-01-19T08:55:41+01:00;Completed
1-330634474;In Progress;2009-10-30T13:49:04+01:00;Accepted
1-330634474;Assigned;2009-10-30T13:57:13+01:00;Accepted
1-330634474;Awaiting Assignment;2010-03-02T13:43:50+01:00;Queued
1-330634474;In Progress;2010-03-02T13:45:25+01:00;Accepted
1-330634474;Wait;2010-03-02T13:45:37+01:00;Accepted
1-330634474;Closed;2012-03-30T09:54:30+01:00;Completed
1-331478885;In Progress;2009-11-04T08:07:28+01:00;Accepted
1-331478885;In Progress;2010-03-03T15:51:55+01:00;Accepted
1-331478885;Assigned;2010-03-03T15:52:18+01:00;Accepted
1-331478885;Assigned;2010-05-24T16:04:58+01:00;Accepted
1-331478885;Assigned;2010-08-09T11:39:59+01:00;Accepted
1-331478885;In Progress;2012-04-02T09:18:59+01:00;Accepted
1-331478885;Closed;2012-04-02T09:19:30+01:00;Completed
1-332389008;Awaiting Assignment;2009-11-09T16:38:14+01:00;Queued
1-332389008;In Progress;2009-11-24T09:41:50+01:00;Accepted
1-332389008;Wait;2010-09-10T09:45:16+01:00;Accepted
1-332389008;In Progress;2011-03-28T10:52:46+01:00;Accepted
1-332389008;Wait;2012-01-04T15:53:26+01:00;Accepted
1-332389008;Closed;2012-04-13T12:41:36+01:00;Completed
1-333164156;In Progress;2009-11-12T13:41:27+01:00;Accepted
1-333164156;In Progress;2010-09-17T09:33:52+01:00;Accepted
1-333164156;Awaiting Assignment;2010-11-12T19:22:19+01:00;Queued
1-333164156;Assigned;2010-11-23T15:10:22+01:00;Accepted
1-333164156;Assigned;2011-01-07T14:55:04+01:00;Accepted
1-333164156;Wait;2011-01-11T17:13:42+01:00;Accepted
1-333164156;In Progress;2011-05-19T14:45:16+01:00;Accepted
1-333164156;Awaiting Assignment;2011-05-19T14:49:04+01:00;Queued
1-333164156;In Progress;2011-08-25T14:24:01+01:00;Accepted
1-333164156;Awaiting Assignment;2011-08-25T14:24:43+01:00;Queued
1-333164156;Assigned;2011-08-25T14:25:33+01:00;Accepted
1-333164156;In Progress;2011-10-26T16:07:30+01:00;Accepted
1-333164156;Closed;2012-03-30T10:45:20+01:00;Completed
1-335260940;In Progress;2009-11-24T09:44:43+01:00;Accepted
1-335260940;Awaiting Assignment;2009-11-30T10:45:01+01:00;Queued
1-335260940;In Progress;2010-03-14T13:40:26+01:00;Accepted
1-335260940;Unmatched;2010-03-14T13:40:36+01:00;Unmatched
1-335260940;Closed;2012-01-18T14:26:41+01:00;Completed
1-337229341;Unmatched;2009-12-04T12:10:14+01:00;Unmatched
1-337229341;Assigned;2010-11-29T11:52:49+01:00;Accepted
1-337229341;In Progress;2012-04-14T16:22:00+01:00;Accepted
1-337229341;Closed;2012-04-14T16:22:21+01:00;Completed
1-338946805;In Progress;2009-12-14T14:29:17+01:00;Accepted
1-338946805;In Progress;2012-01-10T09:32:43+01:00;Accepted
1-338946805;Closed;2012-01-10T09:33:57+01:00;Completed
1-339798202;In Progress;2009-12-16T12:59:24+01:00;Accepted
1-339798202;In Progress;2012-03-15T12:21:25+01:00;Accepted
1-339798202;Closed;2012-03-15T12:21:47+01:00;Completed
1-339889001;In Progress;2009-12-16T20:47:26+01:00;Accepted
1-339889001;In Progress;2012-03-14T13:04:51+01:00;Accepted
1-339889001;Closed;2012-03-14T13:07:29+01:00;Completed
1-340984229;In Progress;2009-12-22T09:09:31+01:00;Accepted
1-340984229;Unmatched;2009-12-22T09:25:22+01:00;Unmatched
1-340984229;Closed;2012-02-01T12:38:06+01:00;Completed
1-341002175;Wait;2009-12-22T10:56:03+01:00;Accepted
1-341002175;In Progress;2012-02-01T12:39:50+01:00;Accepted
1-341002175;Closed;2012-02-01T12:40:25+01:00;Completed
1-342442140;In Progress;2010-01-05T16:42:20+01:00;Accepted
1-342442140;Closed;2012-03-20T16:14:00+01:00;Completed
1-345132462;In Progress;2010-01-14T10:34:54+01:00;Accepted
1-345132462;Wait;2010-01-27T10:43:29+01:00;Accepted
1-345132462;Assigned;2010-02-03T10:20:05+01:00;Accepted
1-345132462;Wait;2010-02-22T08:33:08+01:00;Accepted
1-345132462;In Progress;2011-09-01T23:17:47+01:00;Accepted
1-345132462;In Progress;2012-02-01T10:24:17+01:00;Accepted
1-345132462;Closed;2012-02-01T10:24:59+01:00;Completed
1-345255471;In Progress;2010-01-14T15:02:21+01:00;Accepted
1-345255471;Awaiting Assignment;2010-01-15T15:10:22+01:00;Queued
1-345255471;Awaiting Assignment;2011-09-23T14:06:05+01:00;Queued
1-345255471;In Progress;2012-02-08T08:11:21+01:00;Accepted
1-345255471;Closed;2012-02-08T08:14:29+01:00;Completed
1-347461373;In Progress;2010-01-21T16:42:26+01:00;Accepted
1-347461373;In Progress;2012-04-11T15:38:17+01:00;Accepted
1-347461373;Closed;2012-04-11T15:39:02+01:00;Completed
1-347923966;In Progress;2010-01-25T09:19:08+01:00;Accepted
1-347923966;Assigned;2010-02-08T11:41:12+01:00;Accepted
1-347923966;In Progress;2010-03-03T15:54:09+01:00;Accepted
1-347923966;Assigned;2010-03-03T15:54:25+01:00;Accepted
1-347923966;In Progress;2012-03-28T13:39:46+01:00;Accepted
1-347923966;Closed;2012-03-28T13:39:49+01:00;Completed
1-347924629;In Progress;2010-01-25T07:44:36+01:00;Accepted
1-347924629;Assigned;2011-12-16T10:26:27+01:00;Accepted
1-347924629;Wait;2012-03-30T12:09:18+01:00;Accepted
1-347924629;Closed;2012-03-30T12:24:18+01:00;Completed
1-349857482;In Progress;2010-01-27T13:58:09+01:00;Accepted
1-349857482;Closed;2012-02-29T12:20:13+01:00;Completed
1-351187625;In Progress;2010-02-02T15:50:20+01:00;Accepted
1-351187625;In Progress;2012-04-11T15:39:33+01:00;Accepted
1-351187625;Closed;2012-04-11T15:40:09+01:00;Completed
1-351314317;In Progress;2010-02-03T09:34:32+01:00;Accepted
1-351314317;Awaiting Assignment;2010-02-03T09:45:18+01:00;Queued
1-351314317;In Progress;2010-02-03T10:40:51+01:00;Accepted
1-351314317;Assigned;2010-02-03T10:40:58+01:00;Accepted
1-351314317;In Progress;2011-12-20T22:25:19+01:00;Accepted
1-351314317;Closed;2012-01-03T13:13:02+01:00;Completed
1-351869391;In Progress;2010-02-05T10:00:12+01:00;Accepted
1-351869391;In Progress;2012-02-23T14:34:50+01:00;Accepted
1-351869391;Closed;2012-02-23T14:37:00+01:00;Completed
1-353818791;Awaiting Assignment;2010-02-12T14:00:54+01:00;Queued
1-353818791;In Progress;2010-02-12T14:01:08+01:00;Accepted
1-353818791;Awaiting Assignment;2010-10-28T18:15:39+01:00;Queued
1-353818791;In Progress;2010-10-29T16:11:03+01:00;Accepted
1-353818791;Closed;2012-04-04T14:41:41+01:00;Completed
1-354039443;In Progress;2010-02-15T07:41:51+01:00;Accepted
1-354039443;In Progress;2010-02-15T07:48:52+01:00;Accepted
1-354039443;Assigned;2010-02-15T12:10:30+01:00;Accepted
1-354039443;In Progress;2011-12-28T15:05:47+01:00;Accepted
1-354039443;Closed;2012-01-30T12:29:51+01:00;Completed
1-354090772;In Progress;2010-02-15T09:33:11+01:00;Accepted
1-354090772;Wait;2010-02-15T09:34:41+01:00;Accepted
1-354090772;In Progress;2010-03-02T13:59:28+01:00;Accepted
1-354090772;Awaiting Assignment;2010-03-02T14:01:04+01:00;Queued
1-354090772;In Progress;2010-03-02T14:07:11+01:00;Accepted
1-354090772;Assigned;2010-03-02T14:07:48+01:00;Accepted
1-354090772;Wait;2010-03-02T14:11:18+01:00;Accepted
1-354090772;Assigned;2011-04-11T07:48:47+01:00;Accepted
1-354090772;Assigned;2011-04-11T08:08:44+01:00;Accepted
1-354090772;Wait;2011-11-23T11:55:49+01:00;Accepted
1-354090772;Closed;2012-01-19T08:56:20+01:00;Completed
1-354350908;Wait;2010-02-16T11:03:41+01:00;Accepted
1-354350908;In Progress;2011-09-01T23:16:31+01:00;Accepted
1-354350908;In Progress;2012-01-20T08:40:03+01:00;Accepted
1-354350908;Closed;2012-01-20T08:40:20+01:00;Completed
1-354376900;Wait;2010-02-16T11:04:37+01:00;Accepted
1-354376900;In Progress;2011-09-01T23:16:15+01:00;Accepted
1-354376900;In Progress;2012-02-01T10:16:03+01:00;Accepted
1-354376900;Closed;2012-02-01T10:16:53+01:00;Completed
1-356055231;In Progress;2010-02-23T13:10:59+01:00;Accepted
1-356055231;Wait;2010-02-23T13:13:19+01:00;Accepted
1-356055231;Awaiting Assignment;2010-03-02T13:44:01+01:00;Queued
1-356055231;In Progress;2010-03-02T13:46:47+01:00;Accepted
1-356055231;Wait;2010-03-02T13:46:58+01:00;Accepted
1-356055231;Assigned;2011-11-28T08:20:33+01:00;Accepted
1-356055231;Wait;2011-11-28T08:20:57+01:00;Accepted
1-356055231;Closed;2012-01-19T08:59:01+01:00;Completed
1-356879617;In Progress;2010-02-26T13:39:44+01:00;Accepted
1-356879617;Awaiting Assignment;2010-02-26T13:45:58+01:00;Queued
1-356879617;In Progress;2010-02-26T18:04:51+01:00;Accepted
1-356879617;In Progress;2010-02-26T18:08:30+01:00;Accepted
1-356879617;In Progress;2010-02-26T18:09:05+01:00;Accepted
1-356879617;In Progress;2010-02-26T18:09:42+01:00;Accepted
1-356879617;In Progress;2010-02-26T18:11:57+01:00;Accepted
1-356879617;Assigned;2010-02-26T18:12:06+01:00;Accepted
1-356879617;In Progress;2012-01-19T10:01:46+01:00;Accepted
1-356879617;Closed;2012-01-19T10:02:07+01:00;Completed
1-357087417;In Progress;2010-03-01T06:54:12+01:00;Accepted
1-357087417;Awaiting Assignment;2010-03-01T07:04:33+01:00;Queued
1-357087417;In Progress;2010-03-01T11:53:51+01:00;Accepted
1-357087417;Assigned;2010-03-01T12:00:54+01:00;Accepted
1-357087417;In Progress;2011-12-28T16:01:17+01:00;Accepted
1-357087417;Closed;2012-01-30T12:30:21+01:00;Completed
1-357610411;In Progress;2010-03-02T11:41:18+01:00;Accepted
1-357610411;Wait;2010-09-19T08:21:17+01:00;Accepted
1-357610411;Closed;2012-02-01T16:42:48+01:00;Completed
1-358038911;In Progress;2010-03-03T19:25:03+01:00;Accepted
1-358038911;Unmatched;2010-03-11T15:44:02+01:00;Unmatched
1-358038911;In Progress;2010-08-16T10:54:31+01:00;Accepted
1-358038911;Wait;2010-08-16T11:13:10+01:00;Accepted
1-358038911;In Progress;2012-01-17T07:59:31+01:00;Accepted
1-358038911;Closed;2012-01-17T07:59:59+01:00;Completed
1-358776870;In Progress;2010-03-08T09:17:56+01:00;Accepted
1-358776870;Wait;2010-03-08T09:19:32+01:00;Accepted
1-358776870;Closed;2012-03-30T09:59:03+01:00;Completed
1-359215498;In Progress;2010-03-09T11:28:51+01:00;Accepted
1-359215498;Assigned;2011-04-11T08:09:41+01:00;Accepted
1-359215498;Assigned;2011-04-11T08:11:23+01:00;Accepted
1-359215498;Wait;2011-11-28T08:21:08+01:00;Accepted
1-359215498;Closed;2012-03-30T10:01:23+01:00;Completed
1-359781492;In Progress;2010-03-11T10:02:02+01:00;Accepted
1-359781492;Closed;2012-03-15T14:27:03+01:00;Completed
1-359841262;In Progress;2010-03-11T14:06:34+01:00;Accepted
1-359841262;In Progress;2010-03-11T14:10:10+01:00;Accepted
1-359841262;Awaiting Assignment;2010-03-11T14:12:19+01:00;Queued
1-359841262;In Progress;2010-03-11T14:12:35+01:00;Accepted
1-359841262;Awaiting Assignment;2010-03-11T14:12:46+01:00;Queued
1-359841262;In Progress;2010-03-11T14:13:02+01:00;Accepted
1-359841262;Assigned;2010-07-20T08:25:18+01:00;Accepted
1-359841262;In Progress;2011-09-05T08:28:42+01:00;Accepted
1-359841262;In Progress;2012-01-20T08:24:45+01:00;Accepted
1-359841262;Closed;2012-01-20T08:24:59+01:00;Completed
1-360072755;Assigned;2010-03-12T15:55:50+01:00;Accepted
1-360072755;Awaiting Assignment;2010-08-25T10:04:56+01:00;Queued
1-360072755;In Progress;2011-09-03T06:49:00+01:00;Accepted
1-360072755;Assigned;2011-11-14T16:10:03+01:00;Accepted
1-360072755;Wait;2012-01-12T09:23:04+01:00;Accepted
1-360072755;In Progress;2012-03-08T10:22:52+01:00;Accepted
1-360072755;Closed;2012-03-08T10:24:51+01:00;Completed
1-360464815;In Progress;2010-03-15T14:40:16+01:00;Accepted
1-360464815;Wait;2010-04-15T15:32:45+01:00;Accepted
1-360464815;In Progress;2011-06-09T10:37:15+01:00;Accepted
1-360464815;Closed;2012-02-21T14:57:48+01:00;Completed
1-360667704;In Progress;2010-03-16T08:44:27+01:00;Accepted
1-360667704;Wait;2010-06-15T08:42:52+01:00;Accepted
1-360667704;Closed;2012-03-30T11:17:27+01:00;Completed
1-361368011;In Progress;2010-03-18T11:44:05+01:00;Accepted
1-361368011;In Progress;2012-03-19T14:13:30+01:00;Accepted
1-361368011;Closed;2012-03-19T14:15:58+01:00;Completed
1-363041157;In Progress;2010-03-26T08:24:05+01:00;Accepted
1-363041157;Closed;2012-03-20T16:16:39+01:00;Completed
1-363206822;In Progress;2010-03-26T14:03:21+01:00;Accepted
1-363206822;In Progress;2010-03-26T14:05:35+01:00;Accepted
1-363206822;Awaiting Assignment;2010-03-26T14:05:48+01:00;Queued
1-363206822;In Progress;2011-09-05T08:28:50+01:00;Accepted
1-363206822;In Progress;2012-02-07T02:39:08+01:00;Accepted
1-363206822;Closed;2012-02-07T02:39:40+01:00;Completed
1-363549934;In Progress;2010-03-29T10:38:31+01:00;Accepted
1-363549934;Awaiting Assignment;2010-03-29T10:41:32+01:00;Queued
1-363549934;In Progress;2010-03-29T12:30:54+01:00;Accepted
1-363549934;Assigned;2010-03-29T12:30:58+01:00;Accepted
1-363549934;In Progress;2012-01-19T10:09:44+01:00;Accepted
1-363549934;Closed;2012-01-19T10:10:41+01:00;Completed
1-364018090;In Progress;2010-03-30T17:13:33+01:00;Accepted
1-364018090;In Progress;2010-03-31T10:41:00+01:00;Accepted
1-364018090;Awaiting Assignment;2010-03-31T10:43:06+01:00;Queued
1-364018090;In Progress;2010-03-31T10:43:07+01:00;Accepted
1-364018090;In Progress;2010-03-31T10:46:20+01:00;Accepted
1-364018090;In Progress;2010-10-07T15:45:29+01:00;Accepted
1-364018090;Closed;2012-04-24T17:18:24+01:00;Completed
1-364458525;In Progress;2010-04-01T08:13:49+01:00;Accepted
1-364458525;In Progress;2012-03-30T12:12:07+01:00;Accepted
1-364458525;Wait;2012-03-30T12:12:14+01:00;Accepted
1-364458525;Closed;2012-03-30T12:18:11+01:00;Completed
1-364528467;In Progress;2010-04-01T13:48:30+01:00;Accepted
1-364528467;In Progress;2010-04-01T13:49:59+01:00;Accepted
1-364528467;Awaiting Assignment;2010-04-01T13:50:40+01:00;Queued
1-364528467;In Progress;2010-04-01T18:20:02+01:00;Accepted
1-364528467;Assigned;2010-04-01T18:20:07+01:00;Accepted
1-364528467;In Progress;2012-01-19T10:14:11+01:00;Accepted
1-364528467;Closed;2012-01-19T10:14:18+01:00;Completed
1-365052802;In Progress;2010-04-06T08:16:15+01:00;Accepted
1-365052802;Assigned;2010-04-06T09:12:22+01:00;Accepted
1-365052802;Awaiting Assignment;2010-04-28T09:07:00+01:00;Queued
1-365052802;In Progress;2010-04-28T09:35:20+01:00;Accepted
1-365052802;Unmatched;2010-04-28T09:40:07+01:00;Unmatched
1-365052802;Closed;2012-02-01T12:25:53+01:00;Completed
1-365189372;In Progress;2010-04-06T14:35:51+01:00;Accepted
1-365189372;Unmatched;2010-04-07T07:30:28+01:00;Unmatched
1-365189372;In Progress;2012-02-21T14:58:28+01:00;Accepted
1-365189372;Closed;2012-02-21T15:00:21+01:00;Completed
1-365702595;In Progress;2010-04-08T11:07:36+01:00;Accepted
1-365702595;Awaiting Assignment;2010-04-08T11:09:05+01:00;Queued
1-365702595;In Progress;2010-04-08T18:33:49+01:00;Accepted
1-365702595;Assigned;2010-04-08T18:33:54+01:00;Accepted
1-365702595;In Progress;2011-12-30T10:00:16+01:00;Accepted
1-365702595;Closed;2012-01-04T16:49:12+01:00;Completed
1-366462246;In Progress;2010-04-12T18:14:40+01:00;Accepted
1-366462246;In Progress;2012-04-11T15:40:26+01:00;Accepted
1-366462246;Closed;2012-04-11T15:40:52+01:00;Completed
1-366509892;In Progress;2010-04-12T20:37:25+01:00;Accepted
1-366509892;Awaiting Assignment;2010-04-12T20:47:56+01:00;Queued
1-366509892;In Progress;2010-04-13T13:56:39+01:00;Accepted
1-366509892;Assigned;2010-04-13T13:56:44+01:00;Accepted
1-366509892;In Progress;2012-01-30T12:42:19+01:00;Accepted
1-366509892;Closed;2012-01-30T12:42:50+01:00;Completed
1-366584206;In Progress;2010-04-13T08:38:30+01:00;Accepted
1-366584206;Awaiting Assignment;2010-04-13T08:44:30+01:00;Queued
1-366584206;In Progress;2010-04-13T13:59:01+01:00;Accepted
1-366584206;Assigned;2010-04-13T13:59:07+01:00;Accepted
1-366584206;In Progress;2012-01-09T11:25:49+01:00;Accepted
1-366584206;Closed;2012-01-09T11:25:51+01:00;Completed
1-366698569;In Progress;2010-04-13T13:37:07+01:00;Accepted
1-366698569;In Progress;2010-04-19T15:59:00+01:00;Accepted
1-366698569;In Progress;2010-04-19T15:59:17+01:00;Accepted
1-366698569;Wait;2010-12-13T10:28:11+01:00;Accepted
1-366698569;Assigned;2011-06-27T10:33:46+01:00;Accepted
1-366698569;Assigned;2011-06-27T11:29:07+01:00;Accepted
1-366698569;In Progress;2011-10-24T09:01:34+01:00;Accepted
1-366698569;Assigned;2011-10-24T09:03:31+01:00;Accepted
1-366698569;In Progress;2012-01-12T13:11:40+01:00;Accepted
1-366698569;Closed;2012-01-12T13:11:59+01:00;Completed
1-366726662;In Progress;2010-04-13T13:50:15+01:00;Accepted
1-366726662;In Progress;2010-04-19T15:59:58+01:00;Accepted
1-366726662;In Progress;2010-04-19T16:00:10+01:00;Accepted
1-366726662;Wait;2010-08-10T15:22:31+01:00;Accepted
1-366726662;Assigned;2011-06-27T11:21:34+01:00;Accepted
1-366726662;Wait;2011-06-27T11:28:17+01:00;Accepted
1-366726662;Closed;2012-01-12T13:25:45+01:00;Completed
1-366923538;In Progress;2010-04-14T10:27:54+01:00;Accepted
1-366923538;Awaiting Assignment;2010-04-14T10:47:49+01:00;Queued
1-366923538;In Progress;2010-04-14T10:47:50+01:00;Accepted
1-366923538;Awaiting Assignment;2010-04-14T10:54:25+01:00;Queued
1-366923538;In Progress;2010-04-14T18:58:53+01:00;Accepted
1-366923538;Assigned;2010-04-14T19:09:15+01:00;Accepted
1-366923538;In Progress;2012-01-04T16:55:26+01:00;Accepted
1-366923538;Closed;2012-01-30T14:05:58+01:00;Completed
1-367002597;In Progress;2010-04-14T14:53:38+01:00;Accepted
1-367002597;In Progress;2012-01-09T17:07:46+01:00;Accepted
1-367002597;In Progress;2012-01-09T18:36:13+01:00;Accepted
1-367002597;Closed;2012-02-15T12:32:49+01:00;Completed
1-367648732;In Progress;2010-04-16T17:34:49+01:00;Accepted
1-367648732;Awaiting Assignment;2010-04-16T17:42:36+01:00;Queued
1-367648732;In Progress;2010-04-17T00:40:43+01:00;Accepted
1-367648732;Assigned;2010-04-17T00:42:50+01:00;Accepted
1-367648732;In Progress;2012-01-30T12:43:05+01:00;Accepted
1-367648732;Closed;2012-01-30T12:44:31+01:00;Completed
1-367921041;In Progress;2010-04-19T10:07:37+01:00;Accepted
1-367921041;Awaiting Assignment;2010-04-19T10:08:20+01:00;Queued
1-367921041;In Progress;2010-05-06T13:02:51+01:00;Accepted
1-367921041;Awaiting Assignment;2010-05-21T16:00:21+01:00;Queued
1-367921041;Awaiting Assignment;2011-08-24T20:27:17+01:00;Queued
1-367921041;In Progress;2011-08-29T03:54:38+01:00;Accepted
1-367921041;Assigned;2011-08-29T03:55:29+01:00;Accepted
